genre,topic,weight,normalized
action,topic_0,1.4011167294556907e-05,9.024125257677901e-05
action,topic_1,0.16537936131857756,0.32824216997080546
action,topic_10,0.06558387169851833,0.6221026109470443
action,topic_11,0.040580865617319314,0.07937015860518754
action,topic_2,0.005342377054479348,0.0
action,topic_3,0.0006060490479187699,0.00620358445433171
action,topic_4,0.45809051309445376,0.6513700043170955
action,topic_5,0.04717440510373682,0.1370592344661723
action,topic_6,0.07939574599460181,0.3735039691843006
action,topic_7,0.001298930822362745,0.0060624971425071
action,topic_8,0.011799517571189383,0.06789505935260337
action,topic_9,0.12473435150954765,0.6954211219413682
allegories,topic_0,1.8674462406622163e-05,0.00013926413250539148
allegories,topic_1,0.14250347862324816,0.2819761399462317
allegories,topic_10,0.09964275408882384,0.945198404958765
allegories,topic_11,0.04535431245563878,0.08870756185976542
allegories,topic_2,0.07173836983198383,0.06696379155544892
allegories,topic_3,1.867461462138475e-05,0.00013682958929604833
allegories,topic_4,0.005057908871578067,0.007184331566603091
allegories,topic_5,0.011407800000316918,0.03313195616104741
allegories,topic_6,0.21256091551895828,0.9999999952953461
allegories,topic_7,0.1566830804739993,0.7343293616333029
allegories,topic_8,0.17371601231133246,0.9999999942432984
allegories,topic_9,0.08129801874709232,0.4532435887133063
autobio,topic_0,5.426979815960309e-06,0.0
autobio,topic_1,0.0030825450167623813,0.0
autobio,topic_10,5.426996824841986e-06,0.0
autobio,topic_11,5.4269946918258124e-06,0.0
autobio,topic_2,0.9968631850655062,0.9999999989914483
autobio,topic_3,5.426971646014934e-06,0.0
autobio,topic_4,5.426991125809631e-06,0.0
autobio,topic_5,5.4269983332133935e-06,0.0
autobio,topic_6,5.426979822500679e-06,0.0
autobio,topic_7,5.4270132712797126e-06,0.0
autobio,topic_8,5.427003654024973e-06,0.0
autobio,topic_9,5.42698854602216e-06,0.0
bildung,topic_0,0.029914920306357937,0.31442348486140276
bildung,topic_1,0.1861777785421635,0.37030656628485487
bildung,topic_10,0.00623870121440215,0.059131261547036976
bildung,topic_11,0.12246728121303176,0.23954927222831293
bildung,topic_2,0.07228304609130115,0.067513125724099
bildung,topic_3,0.04345677309241858,0.448791521263033
bildung,topic_4,0.05033409268694354,0.0715643975018297
bildung,topic_5,0.3441557365492463,0.9999999970942928
bildung,topic_6,0.012646300570379567,0.05947093447440521
bildung,topic_7,0.09054553078011807,0.42435060222539456
bildung,topic_8,0.008403310835123003,0.048344110799295424
bildung,topic_9,0.03337652811851441,0.18605923748115002
fantasy,topic_0,3.144030272530121e-05,0.0002734650016528909
fantasy,topic_1,0.4975248526215652,0.9999999979775193
fantasy,topic_10,0.06319183435233543,0.5994108151090624
fantasy,topic_11,0.03097631504517755,0.060582568670982356
fantasy,topic_2,0.0076381256999610205,0.002315381204930558
fantasy,topic_3,3.1440453694843376e-05,0.0002686828193905157
fantasy,topic_4,0.15847918693530935,0.22534035014557366
fantasy,topic_5,0.09913277282852619,0.2880350323424398
fantasy,topic_6,0.052499090015459014,0.24696451335815237
fantasy,topic_7,3.144032514041944e-05,0.00012192127132936342
fantasy,topic_8,0.0054619927586292355,0.03141182049383261
fantasy,topic_9,0.08500150866147646,0.47389224836663235
history,topic_0,0.09513029662911246,0.9999999894875021
history,topic_1,0.08881819521258738,0.17339869324239338
history,topic_10,0.07734250745781852,0.7336495992952908
history,topic_11,0.05936924812851135,0.11612236512395166
