genre,entity_type,mean_count,normalized
action,PERSON,154.5625,0.9999999999935302
allegories,PERSON,82.57142857142857,0.5342267922095874
autobio,PERSON,33.5,0.21674080064558518
bildung,PERSON,135.55555555555554,0.8770274520318869
fantasy,PERSON,43.125,0.27901334411465256
history,PERSON,70.90361445783132,0.4587374975001866
horror,PERSON,5.141176470588236,0.03326276729837427
mystery,PERSON,49.5,0.32025879498377513
na,PERSON,101.68478260869566,0.6578877968979395
political,PERSON,114.93333333333334,0.7436042593293312
romance,PERSON,60.125,0.3890012130989794
scifi,PERSON,34.095238095238095,0.22059191650638094
thrillers,PERSON,0.0,0.0
war,PERSON,0.0,0.0
action,GPE,48.25,0.9999999999792747
allegories,GPE,25.571428571428573,0.5299777942155149
autobio,GPE,7.5,0.15544041450455046
bildung,GPE,15.592592592592593,0.32316254077242346
fantasy,GPE,4.25,0.0880829015525786
history,GPE,21.97590361445783,0.45545914225911655
horror,GPE,1.576470588235294,0.03267296555860355
mystery,GPE,8.055555555555555,0.1669545192826653
na,GPE,21.884057971014492,0.4535556056074806
political,GPE,29.466666666666665,0.6107081174312116
romance,GPE,7.984375,0.16547927460796935
scifi,GPE,11.285714285714286,0.23390081420684739
thrillers,GPE,0.0,0.0
war,GPE,0.0,0.0
action,LOC,10.3125,0.9999999999030303
allegories,LOC,1.7142857142857142,0.16623376621764657
autobio,LOC,1.0,0.09696969696029385
bildung,LOC,1.5555555555555556,0.15084175082712376
fantasy,LOC,2.125,0.20606060604062443
history,LOC,2.6867469879518073,0.260533041230669
horror,LOC,0.10588235294117647,0.01026737967814876
mystery,LOC,0.7777777777777778,0.07542087541356188
na,LOC,2.7644927536231885,0.26807202456776885
political,LOC,3.2666666666666666,0.3167676767369599
romance,LOC,0.640625,0.06212121211518824
scifi,LOC,4.9523809523809526,0.4802308801843124
thrillers,LOC,0.0,0.0
war,LOC,0.0,0.0
action,ORG,64.625,0.999999999984526
allegories,ORG,48.142857142857146,0.744957170477558
autobio,ORG,27.25,0.4216634429335139
bildung,ORG,32.370370370370374,0.5008954796111331
fantasy,ORG,18.229166666666668,0.28207607994405554
history,ORG,35.397590361445786,0.5477383421415558
horror,ORG,2.5647058823529414,0.03968597109962484
mystery,ORG,14.277777777777779,0.22093273156761076
na,ORG,34.14855072463768,0.5284108429262556
political,ORG,40.8,0.6313346228142153
romance,ORG,13.15625,0.2035783365539098
scifi,ORG,25.476190476190474,0.39421571335854944
thrillers,ORG,0.0,0.0
war,ORG,0.0,0.0
action,DATE,40.125,0.9999999999750779
allegories,DATE,25.428571428571427,0.6337338673629332
autobio,DATE,10.0,0.24922118379441197
bildung,DATE,20.666666666666668,0.515057113175118
fantasy,DATE,6.270833333333333,0.15628245067107915
history,DATE,14.421686746987952,0.3594189843396519
horror,DATE,1.6235294117647059,0.04046179219250453
mystery,DATE,9.11111111111111,0.2270681896793531
na,DATE,21.1231884057971,0.5264346020005151
political,DATE,23.466666666666665,0.5848390446375533
romance,DATE,10.265625,0.255841121488951
scifi,DATE,12.857142857142858,0.32042723630710107
thrillers,DATE,0.0,0.0
war,DATE,0.0,0.0
action,NORP,17.1875,0.5300110131995152
allegories,NORP,32.42857142857143,0.9999999999691631
autobio,NORP,2.75,0.08480176211192242
bildung,NORP,6.0,0.18502202642601254
fantasy,NORP,1.5416666666666667,0.047540381790017114
history,NORP,12.048192771084338,0.37153017354620993
horror,NORP,0.5294117647058824,0.016325472919942283
mystery,NORP,2.388888888888889,0.07366617718813462
na,NORP,8.28623188405797,0.25552256910404025
political,NORP,14.333333333333334,0.44199706312880777
romance,NORP,2.515625,0.0775743392046563
scifi,NORP,9.095238095238095,0.28046989720133647
thrillers,NORP,0.0,0.0
war,NORP,0.0,0.0
action,EVENT,0.375,0.6136363626322314
allegories,EVENT,0.14285714285714285,0.2337662333837072
autobio,EVENT,0.25,0.4090909084214876
bildung,EVENT,0.25925925925925924,0.42424242354820935
fantasy,EVENT,0.125,0.2045454542107438
history,EVENT,0.27710843373493976,0.4534501635515284
horror,EVENT,0.011764705882352941,0.019251336866893533
mystery,EVENT,0.6111111111111112,0.9999999983636364
na,EVENT,0.2753623188405797,0.4505928846381603
political,EVENT,0.4,0.6545454534743802
romance,EVENT,0.125,0.2045454542107438
scifi,EVENT,0.047619047619047616,0.07792207779456906
thrillers,EVENT,0.0,0.0
war,EVENT,0.0,0.0
