genre,term,centroid_score
action,captain,0.12824540683840002
action,thou,0.11067543540782304
action,fang,0.10808386017106082
action,lama,0.08748695551213732
action,island,0.08657843997064538
action,ain,0.08269275873467895
action,thee,0.077693092549779
action,cave,0.060431518916459946
action,camp,0.06025762131582162
action,sahib,0.05687733754058433
action,friday,0.056813677957524886
action,ye,0.05647268518256926
fantasy,couldn,0.10230898413710707
fantasy,turtle,0.08138473955854701
fantasy,pirates,0.08065704799160181
fantasy,dinah,0.07705089016938552
fantasy,emerald,0.07579601123030406
fantasy,mrs,0.06440305067543055
fantasy,majesty,0.06385319259588335
fantasy,ye,0.06217612395099778
fantasy,em,0.0585686709361615
fantasy,mock,0.05669349866362159
fantasy,duchess,0.055585618979649566
fantasy,paw,0.05521988914764503
romance,mrs,0.3408790598832447
romance,rochester,0.0749704529432084
romance,bathsheba,0.07415606457582849
romance,dinah,0.0733377521283019
romance,alexey,0.06055993805961283
romance,henry,0.05907455719961661
romance,alexandrovitch,0.05800485239989183
romance,colonel,0.053958284726550974
romance,admiral,0.053343222359196946
romance,aunt,0.050114318328707955
romance,bradley,0.04862796802079901
romance,boldwood,0.04462040124904552
na,mrs,0.17077802338213413
na,bloom,0.06269013610279574
na,dr,0.04646832801276139
na,couldn,0.038987935170355426
na,madame,0.038586498458606726
na,miss,0.0366523572443868
na,chapter,0.034154979780626704
na,tea,0.03115506457700601
na,em,0.03087607590462451
na,wasn,0.025228544984958037
na,doesn,0.02507188686047606
na,ain,0.02489619935288296
allegories,francs,0.1952959657325284
allegories,lawyer,0.18010790029085136
allegories,thee,0.1605786323808205
allegories,uncle,0.13784618785930816
allegories,cousin,0.12918864418329884
allegories,painter,0.127835966484514
allegories,hath,0.12241522665377742
allegories,notary,0.1166532177739496
allegories,thy,0.11533736135888517
allegories,director,0.10550664768383151
allegories,president,0.08937951415313401
allegories,paris,0.06917201810661243
bildung,mrs,0.13299847282163765
bildung,madame,0.11307994292638288
bildung,mildred,0.09150490611151152
bildung,francs,0.08958015842656261
bildung,cranly,0.084180156028347
bildung,dora,0.07487272465346974
bildung,la,0.07382282635854354
bildung,estella,0.07149576697312239
bildung,mantalini,0.06704196451863179
bildung,em,0.06399665629513007
bildung,jew,0.06110401671038216
bildung,paris,0.05961021590730352
history,ye,0.10688912501826843
history,thee,0.08660079930261522
history,thy,0.08254306003324334
history,aramis,0.05396406348027451
history,porthos,0.043353885560045276
history,monseigneur,0.0403053503209226
history,hath,0.040165792694462854
history,madame,0.039495238746800936
history,caroline,0.038440774933704874
history,nastasia,0.036569708968848584
history,priest,0.03610299990661071
history,athos,0.0356464065499798
horror,erik,0.44831930831477246
horror,persian,0.15299583119722057
horror,chapter,0.1224811328141788
horror,opera,0.11293900275283038
horror,cottage,0.10240269234398716
horror,fiend,0.0943613434606147
horror,lake,0.08846176344925322
horror,monster,0.08709996865503263
horror,william,0.07304177124075106
horror,sensations,0.06808875984202784
horror,endeavoured,0.06763649761870062
horror,mountains,0.06634755392309385
political,mrs,0.1613686018316316
political,locksmith,0.10146743396072005
political,inspector,0.09276569236397439
political,commissioner,0.07768682858831191
political,dollars,0.07372905595114262
political,eva,0.07271190865560763
political,dolly,0.07025228788330874
political,clare,0.06498605486398151
political,captain,0.06479950342722623
political,mas,0.06069889404422487
political,india,0.06068049193609275
political,miss,0.059787078801403465
scifi,nautilus,0.20080891252921937
scifi,machine,0.14869621380378767
scifi,professor,0.11108078734338435
scifi,island,0.09804492448009154
scifi,granite,0.09586860645783957
scifi,engineer,0.09005341267518815
scifi,traveller,0.08934623701063966
scifi,raft,0.08255903962275002
scifi,reporter,0.07688632652021489
scifi,chapter,0.06963362849378939
scifi,colonists,0.06378350891720658
scifi,curate,0.05892252676648664
mystery,inspector,0.24675047628978147
mystery,moor,0.24447473362578034
mystery,mrs,0.18973413775205128
mystery,dr,0.18899492586594857
mystery,lucy,0.14958652666561706
mystery,detective,0.12914912601411918
mystery,cab,0.12882324781390414
mystery,ursula,0.11598558924677622
mystery,baronet,0.09689133176139014
mystery,police,0.08316953233627877
mystery,murder,0.07493437810747874
mystery,murderer,0.06518022936487744
autobio,odette,0.8069253525456814
autobio,verdurin,0.29945896416695295
autobio,oise,0.2662739360379654
autobio,fran,0.19149400671799133
autobio,gilberte,0.18290307991035448
autobio,forcheville,0.17752357756004994
autobio,guermantes,0.17752357756004994
autobio,aunt,0.10613088687250412
autobio,grandmother,0.04582790466997046
autobio,des,0.04223432915935204
autobio,paris,0.03974425129099694
autobio,grandfather,0.03699566720874946
