top_500_rank,title,author,pub_year,orig_lang,genre,author_birth,author_death,author_gender,author_primary_lang,author_nationality,author_field_of_activity,author_occupation,oclc_holdings,oclc_eholdings,oclc_total_editions,oclc_holdings_rank,oclc_editions_rank,gr_avg_rating,gr_num_ratings,gr_num_reviews,gr_avg_rating_rank,gr_num_ratings_rank,oclc_owi,author_viaf,gr_url,wiki_url,pg_eng_url,pg_orig_url,year,week,rank,title_id,nyt_title,novel_length_chars,novel_length_words,mentions_she,he_counts,she_counts,they_counts,pg_book_id,pub_date
1,Don Quixote,Miguel de Cervantes,1605,Spanish,action,1547,1616,male,spa,ES,,"soldiers,poets spanish,novelists spanish,dramatists spanish,authors spanish",30840.0,4992.0,9017.0,9.0,1.0,3.9,"269,435","12,053",318,211,1810748013.0,17220427,https://www.goodreads.com/book/show/3836.Don_Quixote?from_search=true&from_srp=true&qid=Npjwg6DCCM&rank=1,https://en.wikipedia.org/wiki/Don_Quixote,https://www.gutenberg.org/cache/epub/996/pg996.txt,https://www.gutenberg.org/cache/epub/2000/pg2000.txt,,,,,,2361875.0,430284.0,True,5760.0,1152.0,2507.0,996,1605-01-01
2,Alice's Adventures in Wonderland,Lewis Carroll,1865,English,fantasy,1832,1898,male,eng,GB,"writing,teaching,photography,mathematics","authors,teachers,photographers,mathematicians",24125.0,6698.0,2694.0,18.0,33.0,4.06,"561,016","15,380",172,133,11561315216.0,66462036,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass?from_search=true&from_srp=true&qid=rbCacLxvKx&rank=1,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland,https://www.gutenberg.org/cache/epub/11/pg11.txt,,,,,,,167713.0,29569.0,True,104.0,510.0,132.0,11,1865-01-01
3,The Adventures of Huckleberry Finn,Mark Twain,1884,English,action,1835,1910,male,eng,US,"wit and humor,literature,humor","lecturers,humorists,authors",32602.0,11783.0,4119.0,6.0,6.0,3.83,"1,262,480","19,440",373,68,3373177738.0,50566653,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn?from_search=true&from_srp=true&qid=lTplsbK1Jk&rank=2,https://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,https://www.gutenberg.org/cache/epub/76/pg76.txt,,,,,,,,,False,,,,76,1884-01-01
4,The Adventures of Tom Sawyer,Mark Twain,1876,English,action,1835,1910,male,eng,US,"wit and humor,literature,humor","lecturers,humorists,authors",32602.0,11783.0,4119.0,7.0,7.0,3.92,"931,898","13,603",301,88,3373177738.0,50566653,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer?from_search=true&from_srp=true&qid=9VcOB7x62W&rank=1,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer,https://www.gutenberg.org/cache/epub/74/pg74.txt,,,,,,,421361.0,73849.0,True,927.0,313.0,462.0,74,1876-01-01
5,Treasure Island,Robert Louis Stevenson,1883,English,action,1850,1894,male,eng,GB,,"travel writers,poets,novelists",37702.0,14286.0,5555.0,1.0,2.0,3.84,"486,155","16,307",368,145,3434.0,95207986,https://www.goodreads.com/book/show/295.Treasure_Island?from_search=true&from_srp=true&qid=iUWx7VMfKk&rank=1,https://en.wikipedia.org/wiki/Treasure_Island,https://www.gutenberg.org/cache/epub/120/pg120.txt,,,,,,,391658.0,71671.0,True,811.0,69.0,210.0,120,1883-01-01
6,Pride and Prejudice,Jane Austen,1813,English,romance,1775,1817,female,eng,GB,"fiction,novels","novelists,authors",36023.0,15545.0,4889.0,2.0,3.0,4.29,"4,239,555","113,241",34,8,1881837462.0,102333412,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice?from_search=true&from_srp=true&qid=YfouvjieOf&rank=1,https://en.wikipedia.org/wiki/Pride_and_Prejudice,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,,,,,,,763083.0,130415.0,True,1112.0,1408.0,483.0,1342,1813-01-01
7,Wuthering Heights,Emily Brontë,1847,English,na,1818,1848,female,eng,GB,"novels,fiction","poets,novelists",33337.0,11972.0,3933.0,5.0,11.0,3.89,"1,793,015","61,175",326,46,49739.0,97097302,https://www.goodreads.com/book/show/6185.Wuthering_Heights?from_search=true&from_srp=true&qid=Ls52Sag11l&rank=1,https://en.wikipedia.org/wiki/Wuthering_Heights,https://www.gutenberg.org/cache/epub/768/pg768.txt,,,,,,,677618.0,118978.0,True,1709.0,1135.0,252.0,768,1847-01-01
8,Jane Eyre,Charlotte Brontë,1847,English,romance,1816,1855,female,eng,GB,"poetry,novels","poets,novelists,governesses",34599.0,10607.0,4552.0,4.0,5.0,4.15,"2,084,999","64,277",99,40,3503.0,71388025,https://www.goodreads.com/book/show/10210.Jane_Eyre?from_search=true&from_srp=true&qid=69NNTGE2Ph&rank=1,https://en.wikipedia.org/wiki/Jane_Eyre,https://www.gutenberg.org/cache/epub/1260/pg1260.txt,,,,,,,1063116.0,188435.0,True,1520.0,1236.0,442.0,1260,1847-01-01
9,Moby Dick,Herman Melville,1851,English,na,1819,1891,male,eng,US,"short stories,sea fiction,poetry,novels","short story writer,customs inspector,teachers,sailors,poets,novelists,lecturers",31460.0,10137.0,3672.0,8.0,19.0,3.54,"557,743","22,513",481,134,2453386250.0,27068555,https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale?ref=nav_sb_ss_1_9,https://en.wikipedia.org/wiki/Moby-Dick,https://www.gutenberg.org/cache/epub/2701/pg2701.txt,,,,,,,1260594.0,215845.0,True,1665.0,104.0,589.0,2701,1851-01-01
10,The Scarlet Letter,Nathaniel Hawthorne,1850,English,na,1804,1864,male,eng,US,,"novelists,authors",27927.0,12713.0,2916.0,14.0,27.0,3.43,"862,399","20,214",493,95,3277.0,44435463,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter?ref=nav_sb_ss_1_18,https://en.wikipedia.org/wiki/The_Scarlet_Letter,https://www.gutenberg.org/cache/epub/25344/pg25344.txt,,,,,,,520600.0,86883.0,True,532.0,405.0,193.0,25344,1850-01-01
11,Gulliver's Travels,Jonathan Swift,1726,English,fantasy,1667,1745,male,eng,IE,"satirical literature,satire,poetry,fiction,essays","satirists,poets,essayists,authors",23054.0,8261.0,2574.0,25.0,35.0,3.58,"272,891","7,528",477,208,11699989898.0,14777110,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels?ref=nav_sb_ss_1_18,https://en.wikipedia.org/wiki/Gulliver%27s_Travels,https://www.gutenberg.org/cache/epub/829/pg829.txt,,,,,,,611782.0,108140.0,True,665.0,92.0,591.0,829,1726-01-01
12,The Pilgrim's Progress,John Bunyan,1678,English,allegories,1628,1688,male,eng,GB,,"preacher,author",21524.0,7208.0,3498.0,28.0,21.0,4.05,"137,395","4,644",177,278,49066516.0,71388170,https://www.goodreads.com/book/show/29797.The_Pilgrim_s_Progress?from_search=true&from_srp=true&qid=3nXmE324BM&rank=1,https://en.wikipedia.org/wiki/The_Pilgrim%27s_Progress,https://www.gutenberg.org/cache/epub/131/pg131.txt,,,,,,,331406.0,61132.0,True,952.0,37.0,707.0,131,1678-01-01
13,A Christmas Carol,Charles Dickens,1843,English,na,1812,1870,male,eng,GB,english literature,"authors english,writers,novelists",25567.0,12115.0,4096.0,16.0,8.0,4.08,"838,828","31,968",157,98,2829857639.0,88666393,https://www.goodreads.com/book/show/5326.A_Christmas_Carol?from_search=true&from_srp=true&qid=PC8NRaRnFL&rank=1,https://en.wikipedia.org/wiki/A_Christmas_Carol,https://www.gutenberg.org/cache/epub/46/pg46.txt,,,,,,,182146.0,31616.0,True,382.0,45.0,146.0,46,1843-01-01
14,David Copperfield,Charles Dickens,1850,English,bildung,1812,1870,male,eng,GB,english literature,"authors english,writers,novelists",28144.0,10044.0,3683.0,11.0,16.0,4.03,"237,403","9,833",194,228,2487779497.0,88666393,https://www.goodreads.com/book/show/58696.David_Copperfield?from_search=true&from_srp=true&qid=SqkF9mVGUk&rank=1,https://en.wikipedia.org/wiki/David_Copperfield,https://www.gutenberg.org/cache/epub/766/pg766.txt,,,,,,,1992716.0,357867.0,True,2919.0,2256.0,634.0,766,1850-01-01
15,A Tale of Two Cities,Charles Dickens,1859,English,history,1812,1870,male,eng,GB,english literature,"authors english,writers,novelists",28144.0,10044.0,3683.0,12.0,17.0,3.87,"943,466","23,243",342,86,2487779497.0,88666393,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities?ref=nav_sb_ss_1_20,https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities,https://www.gutenberg.org/cache/epub/98/pg98.txt,,,,,,,793196.0,138934.0,True,1458.0,337.0,459.0,98,1859-01-01
16,Little Women,Louisa May Alcott,1868,English,na,1832,1888,female,eng,US,"short stories,poetry,novels,fiction","authors,poets,novelists",28866.0,8889.0,3155.0,10.0,25.0,4.15,"2,218,654","50,769",100,38,1862339708.0,29528997,https://www.goodreads.com/book/show/1934.Little_Women?from_search=true&from_srp=true&qid=KL7XlkIgEY&rank=1,https://en.wikipedia.org/wiki/Little_Women,https://www.gutenberg.org/cache/epub/37106/pg37106.txt,,,,,,,1113276.0,195629.0,True,1381.0,2076.0,630.0,37106,1868-01-01
17,Great Expectations,Charles Dickens,1861,English,bildung,1812,1870,male,eng,GB,english literature,"authors english,writers,novelists",28144.0,10044.0,3683.0,13.0,18.0,3.79,"798,588","21,978",397,103,2487779497.0,88666393,https://www.goodreads.com/book/show/2623.Great_Expectations?ref=nav_sb_ss_1_18,https://en.wikipedia.org/wiki/Great_Expectations,https://www.gutenberg.org/cache/epub/1400/pg1400.txt,,,,,,,1034709.0,187515.0,True,1918.0,756.0,316.0,1400,1861-01-01
18,"The Hobbit, or, There and Back Again",J.R.R. Tolkien,1937,English,fantasy,1892,1973,male,eng,GB,"poetry,philology,novels,fiction,fantasy fiction,english literature,education higher","poets,philologists,novelists,college teachers,authors",19117.0,702.0,717.0,35.0,196.0,4.29,"3,941,429","70,212",35,10,4061664585.0,95218067,https://www.goodreads.com/book/show/437049.The_Hobbit_or_There_and_Back_Again?from_search=true&from_srp=true&qid=O4psAw3Arv&rank=1,https://en.wikipedia.org/wiki/The_Hobbit,NA_not-pub-domain,,,,,,,,,False,,,,,1937-01-01
19,"Frankenstein, or, the Modern Prometheus",Mary Shelley,1818,English,horror,1797,1851,female,eng,GB,literature,"authors,writers",27338.0,10280.0,2777.0,15.0,31.0,3.87,"1,585,172","61,660",343,54,2031724957.0,6293,https://www.goodreads.com/book/show/18488.Frankenstein_or_the_Modern_Prometheus?ref=nav_sb_ss_1_39,https://en.wikipedia.org/wiki/Frankenstein,https://www.gutenberg.org/cache/epub/84/pg84.txt,,,,,,,446583.0,78106.0,True,478.0,183.0,174.0,84,1818-01-01
20,Oliver Twist,Charles Dickens,1838,English,bildung,1812,1870,male,eng,GB,english literature,"authors english,writers,novelists",25567.0,12115.0,4096.0,17.0,9.0,3.88,"386,350","10,633",331,169,2829857639.0,88666393,https://www.goodreads.com/book/show/18254.Oliver_Twist?ref=nav_sb_ss_1_12,https://en.wikipedia.org/wiki/Oliver_Twist,https://www.gutenberg.org/cache/epub/730/pg730.txt,,,,,,,931658.0,161010.0,True,2069.0,478.0,590.0,730,1838-01-01
21,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,English,political,1811,1896,female,eng,US,"fiction,authorship,antislavery movements","authors,novelists,abolitionists",23785.0,11286.0,3644.0,21.0,20.0,3.9,"226,482","9,800",319,230,8104.0,32003151,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin?ref=nav_sb_ss_1_17,https://en.wikipedia.org/wiki/Uncle_Tom%27s_Cabin,https://www.gutenberg.org/cache/epub/203/pg203.txt,,,,,,,1046690.0,183968.0,True,1860.0,1202.0,632.0,203,1852-01-01
22,Crime and Punishment,Fyodor Dostoyevsky,1866,Russian,na,1821,1881,male,rus,RU,"short stories,philosophy,fiction,essays","philosophers,novelists,essayists,psychologists",15747.0,5814.0,948.0,65.0,157.0,4.27,"894,492","35,710",43,94,9936737327.0,104023256,https://www.goodreads.com/book/show/7144.Crime_and_Punishment?ref=nav_sb_ss_1_20,https://en.wikipedia.org/wiki/Crime_and_Punishment,https://www.gutenberg.org/cache/epub/2554/pg2554.txt,unavailable,,,,,,1176912.0,206549.0,True,3633.0,1250.0,601.0,2554,1866-01-01
23,Madame Bovary: Patterns of Provincial life,Gustave Flaubert,1857,French,na,1821,1880,male,fre,FR,,authors,18577.0,5360.0,1246.0,39.0,118.0,3.7,"332,461","16,153",435,182,12392760730.0,9846192,https://www.goodreads.com/book/show/357469.Madame_Bovary?ref=nav_sb_ss_1_42,https://en.wikipedia.org/wiki/Madame_Bovary,https://www.gutenberg.org/cache/epub/2413/pg2413.txt,https://www.gutenberg.org/cache/epub/14155/pg14155.txt,,,,,,685270.0,118697.0,True,1607.0,1385.0,395.0,2413,1857-01-01
24,The Return of the King,J.R.R. Tolkien,1955,English,fantasy,1892,1973,male,eng,GB,"poetry,philology,novels,fiction,fantasy fiction,english literature,education higher","poets,philologists,novelists,college teachers,authors",5828.0,232.0,189.0,462.0,414.0,4.56,"896,361","18,133",5,93,5319434652.0,95218067,https://www.goodreads.com/book/show/61215384-the-return-of-the-king?ref=nav_sb_ss_1_22,https://en.wikipedia.org/wiki/The_Return_of_the_King,NA_not-pub-domain,,,,,,,,,False,,,,,1955-01-01
25,Dracula,Bram Stoker,1897,English,na,1847,1912,male,eng,IE,,"business manager,novelist",21540.0,13875.0,2518.0,27.0,38.0,4.01,"1,266,607","45,632",211,67,9577.0,17229847,https://www.goodreads.com/book/show/17245.Dracula?ref=nav_sb_ss_1_7,https://en.wikipedia.org/wiki/Dracula,https://www.gutenberg.org/cache/epub/345/pg345.txt,,,,,,,881061.0,164356.0,True,1996.0,643.0,372.0,345,1897-01-01
26,The Three Musketeers,Alexandre Dumas,1844,French,history,1802,1870,male,fre,FR,,"author,novelist,dramatist,novelists,dramatists,authors",23943.0,6822.0,4028.0,20.0,10.0,4.09,"320,932","9,380",144,186,11436960313.0,51688902,https://www.goodreads.com/book/show/7190.The_Three_Musketeers?ref=nav_sb_ss_1_20,https://en.wikipedia.org/wiki/The_Three_Musketeers,https://www.gutenberg.org/cache/epub/1257/pg1257.txt,https://www.gutenberg.org/cache/epub/13951/pg13951.txt,,,,,,1348860.0,232484.0,True,2696.0,982.0,589.0,1257,1844-01-01
27,Brave New World,Aldous Huxley,1932,English,na,1894,1963,male,eng,GB,,authors,14646.0,702.0,1439.0,85.0,101.0,3.99,"1,843,997","47,130",233,43,1806921828.0,71392434,https://www.goodreads.com/book/show/5129.Brave_New_World?ref=nav_sb_ss_1_15,https://en.wikipedia.org/wiki/Brave_New_World,NA_not-pub-domain,,,,,,,,,False,,,,,1932-01-01
28,War and Peace,Leo Tolstoy,1869,Russian,history,1828,1910,male,rus,RU,"philosophy and religion,literature","authors,writers",11222.0,2470.0,620.0,144.0,214.0,4.16,"326,220","17,136",89,183,11336963884.0,96987389,https://www.goodreads.com/book/show/656.War_and_Peace?ref=nav_sb_ss_1_13,https://en.wikipedia.org/wiki/War_and_Peace,https://www.gutenberg.org/cache/epub/2600/pg2600.txt,unavailable,,,,,,3293656.0,566333.0,True,8140.0,2735.0,1787.0,2600,1869-01-01
29,To Kill a Mockingbird,Harper Lee,1960,English,na,1926,2016,female,eng,US,"novels,fiction",novelists,21870.0,414.0,1115.0,26.0,139.0,4.26,"6,080,747","116,479",48,4,181435.0,12431460,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird?ref=nav_sb_ss_1_21,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird,NA_not-pub-domain,,,,,,,,,False,,,,,1960-01-01
30,The Wizard of Oz,L. Frank Baum,1900,English,fantasy,1856,1919,male,eng,US,,,9678.0,5067.0,1163.0,190.0,131.0,4.0,"451,144","17,204",223,152,3980332625.0,4926394,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz?ref=nav_sb_ss_1_16,https://en.wikipedia.org/wiki/The_Wonderful_Wizard_of_Oz,https://www.gutenberg.org/cache/epub/55/pg55.txt,,,,,,,232243.0,42692.0,True,413.0,342.0,334.0,55,1900-01-01
31,Les Misérables,Victor Hugo,1862,French,na,1802,1885,male,fre,FR,,authors french,23444.0,5909.0,3183.0,22.0,24.0,4.2,"794,697","22,665",69,104,37574.0,9847974,https://www.goodreads.com/book/show/24280.Les_Mis_rables?ref=nav_sb_ss_1_14,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables,https://www.gutenberg.org/cache/epub/135/pg135.txt,https://www.gutenberg.org/cache/epub/17489/pg17489.txt ; https://www.gutenberg.org/cache/epub/17493/pg17493.txt ; https://www.gutenberg.org/cache/epub/17494/pg17494.txt ; https://www.gutenberg.org/cache/epub/17518/pg17518.txt ; https://www.gutenberg.org/cache/epub/17519/pg17519.txt,,,,,,3324283.0,568652.0,True,6815.0,1671.0,1469.0,135,1862-01-01
32,The Secret Garden,Frances Hodgson Burnett,1911,English,na,1849,1924,female,eng,GB,,"novelists,authors",16799.0,5751.0,1801.0,59.0,68.0,4.16,"1,162,708","28,154",90,75,6131.0,27061925,https://www.goodreads.com/book/show/2998.The_Secret_Garden?ref=nav_sb_ss_1_17,https://en.wikipedia.org/wiki/The_Secret_Garden,https://www.gutenberg.org/cache/epub/17396/pg17396.txt,,,,,,,461907.0,84059.0,True,1453.0,1363.0,366.0,17396,1911-01-01
33,Animal Farm,George Orwell,1945,English,political,1903,1950,male,eng,GB,fiction,"novelists,authors",21494.0,1148.0,2468.0,29.0,40.0,3.99,"3,853,020","94,736",234,12,259236.0,95155403,https://www.goodreads.com/book/show/170448.Animal_Farm?ref=nav_sb_ss_1_11,https://en.wikipedia.org/wiki/Animal_Farm,NA_not-pub-domain,,,,,,,,,False,,,,,1945-01-01
34,The Great Gatsby,F. Scott Fitzgerald,1925,English,na,1896,1940,male,eng,US,"fiction,short stories,novels","novelists,authors",23406.0,2873.0,2228.0,23.0,46.0,3.93,"5,198,202","103,746",298,5,85201.0,100254195,https://www.goodreads.com/book/show/4671.The_Great_Gatsby?ref=nav_sb_ss_1_16,https://en.wikipedia.org/wiki/The_Great_Gatsby,https://www.gutenberg.org/cache/epub/64317/pg64317.txt,,,,,,,296900.0,51262.0,True,613.0,291.0,119.0,64317,1925-01-01
35,The Little Prince,Antoine de Saint-Exupéry,1943,English,na,1900,1944,male,fre,FR,"fiction,essays,childrens literature,autobiography","novelists,essayists,air pilots",15631.0,1009.0,3301.0,67.0,22.0,4.32,"2,095,592","66,986",28,39,475161882.0,93810507,https://www.goodreads.com/book/show/157993.The_Little_Prince?ref=nav_sb_ss_1_17,https://en.wikipedia.org/wiki/The_Little_Prince,NA_not-pub-domain,,,,,,,,,False,,,,,1943-01-01
36,The Call of the Wild,Jack London,1903,English,action,1876,1916,male,eng,US,,"novelists american,authors american",18081.0,7967.0,2062.0,44.0,49.0,3.9,"426,724","15,327",320,160,2242253940.0,46764200,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild?ref=nav_sb_ss_1_20,https://en.wikipedia.org/wiki/The_Call_of_the_Wild,https://www.gutenberg.org/cache/epub/215/pg215.txt,,,,,,,198370.0,34876.0,True,622.0,24.0,215.0,215,1903-01-01
37,"20,000 Leagues Under the Sea",Jules Verne,1870,French,scifi,1828,1905,male,fre,FR,"drama,voyages imaginary,science fiction,poetry,novels,action and adventure fiction","poets,novelists,authors french,playwrights",19018.0,10711.0,2844.0,36.0,29.0,3.89,"11,238",716,327,481,4915442756.0,76323989,https://www.goodreads.com/book/show/15762322-20-000-leagues-under-the-sea-and-other-classic-novels?ref=nav_sb_ss_1_28,https://en.wikipedia.org/wiki/Twenty_Thousand_Leagues_Under_the_Seas,https://www.gutenberg.org/cache/epub/164/pg164.txt,https://www.gutenberg.org/cache/epub/5097/pg5097.txt,,,,,,630047.0,107726.0,True,446.0,40.0,240.0,164,1870-01-01
38,Anna Karenina,Leo Tolstoy,1878,Russian,romance,1828,1910,male,rus,RU,"philosophy and religion,literature","authors,writers",23393.0,7096.0,2915.0,24.0,28.0,4.09,"843,157","35,039",145,97,509824227.0,96987389,https://www.goodreads.com/book/show/15823480-anna-karenina?ref=nav_sb_ss_1_13,https://en.wikipedia.org/wiki/Anna_Karenina,https://www.gutenberg.org/cache/epub/1399/pg1399.txt,unavailable,,,,,,2024318.0,352805.0,True,6508.0,3513.0,998.0,1399,1878-01-01
39,The Wind in the Willows,Kenneth Grahame,1908,English,fantasy,1859,1932,male,eng,GB,childrens literature,author,17564.0,5592.0,1874.0,53.0,66.0,4.01,"216,887","9,012",212,232,87688.0,36919188,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows?ref=nav_sb_ss_1_23,https://en.wikipedia.org/wiki/The_Wind_in_the_Willows,https://www.gutenberg.org/cache/epub/289/pg289.txt,,,,,,,350645.0,61474.0,True,904.0,48.0,318.0,289,1908-01-01
40,The Picture of Dorian Gray,Oscar Wilde,1890,English,na,1854,1900,male,eng,IE,literature,"poets,novelists,dramatists,critics",18146.0,11362.0,2715.0,42.0,32.0,4.12,"1,518,854","68,658",123,57,4919760405.0,34464414,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray?ref=nav_sb_ss_1_26,https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray,https://www.gutenberg.org/cache/epub/174/pg174.txt,,,,,,,457568.0,82029.0,True,1045.0,273.0,192.0,174,1890-01-01
41,The Grapes of Wrath,John Steinbeck,1939,English,na,1902,1968,male,eng,US,literature,authors,19861.0,583.0,1497.0,32.0,91.0,4.01,"902,261","23,772",213,91,4140851160.0,96992551,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath?ref=nav_sb_ss_1_19,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath,https://www.gutenberg.org/cache/epub/46787/pg46787.txt,,,,,,,344804.0,60066.0,True,518.0,13.0,388.0,46787,1939-01-01
42,Sense and Sensibility,Jane Austen,1811,English,romance,1775,1817,female,eng,GB,"fiction,novels","novelists,authors",17906.0,9986.0,1972.0,47.0,56.0,4.08,"1,184,039","26,962",158,74,3373323889.0,102333412,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility?ref=nav_sb_ss_1_21,https://en.wikipedia.org/wiki/Sense_and_Sensibility,https://www.gutenberg.org/cache/epub/161/pg161.txt,,,,,,,703003.0,121894.0,True,906.0,1334.0,430.0,161,1811-01-01
43,The Last of the Mohicans,James Fenimore Cooper,1826,English,history,1789,1851,male,eng,US,,author,14506.0,5032.0,2290.0,87.0,45.0,3.7,"97,745","3,254",436,322,388572.0,27062769,https://www.goodreads.com/book/show/38296.The_Last_of_the_Mohicans?ref=nav_sb_ss_1_24,https://en.wikipedia.org/wiki/The_Last_of_the_Mohicans,https://www.gutenberg.org/cache/epub/940/pg940.txt,,,,,,,881381.0,151499.0,True,1614.0,134.0,669.0,940,1826-01-01
44,Tess of the d'Urbervilles,Thomas Hardy,1891,English,na,1840,1928,male,eng,GB,english literature,writers,18773.0,8213.0,2040.0,38.0,53.0,3.83,"282,350","11,666",374,203,2044358356.0,54148778,https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles?ref=nav_sb_ss_1_25,https://en.wikipedia.org/wiki/Tess_of_the_d%27Urbervilles,https://www.gutenberg.org/cache/epub/110/pg110.txt,,,,,,,878188.0,153103.0,True,1449.0,1775.0,709.0,110,1891-01-01
45,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,English,fantasy,1965,ALIVE,female,eng,GB,"young adult fiction,young adult fantasy,fantasy fiction,fantasy,novels","novelists,authors,writers",20745.0,1067.0,997.0,30.0,154.0,4.47,"9,977,698","160,913",9,1,298916.0,116796842,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone?ref=nav_sb_ss_1_37,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher%27s_Stone,NA_not-pub-domain,,,,,,,,,False,,,,,1997-01-01
46,Heidi,Johanna Spyri,1880,English,na,1827,1901,female,ger,CH,,novelists,16581.0,4607.0,2393.0,63.0,41.0,4.02,"198,602","6,119",198,239,481118.0,76323123,https://www.goodreads.com/book/show/93.Heidi?ref=nav_sb_ss_1_5,https://en.wikipedia.org/wiki/Heidi,https://www.gutenberg.org/cache/epub/20781/pg20781.txt,,,,,,,311001.0,54687.0,True,498.0,662.0,212.0,20781,1880-01-01
47,Ulysses,James Joyce,1922,English,na,1882,1941,male,eng,IE,"short stories,novels",novelists,17773.0,1352.0,1955.0,49.0,57.0,3.75,"127,499","9,351",421,289,395796.0,44300643,https://www.goodreads.com/book/show/338798.Ulysses?ref=nav_sb_ss_1_7,https://en.wikipedia.org/wiki/Ulysses_(novel),https://www.gutenberg.org/cache/epub/4300/pg4300.txt,,1934.0,1934-02-05,6.0,7041.0,ULYSSES,1572179.0,268091.0,True,2970.0,832.0,802.0,4300,1922-01-01
47,Ulysses,James Joyce,1922,English,na,1882,1941,male,eng,IE,"short stories,novels",novelists,17773.0,1352.0,1955.0,49.0,57.0,3.75,"127,499","9,351",421,289,395796.0,44300643,https://www.goodreads.com/book/show/338798.Ulysses?ref=nav_sb_ss_1_7,https://en.wikipedia.org/wiki/Ulysses_(novel),https://www.gutenberg.org/cache/epub/4300/pg4300.txt,,1934.0,1934-02-12,2.0,7041.0,ULYSSES,1572179.0,268091.0,True,2970.0,832.0,802.0,4300,1922-01-01
47,Ulysses,James Joyce,1922,English,na,1882,1941,male,eng,IE,"short stories,novels",novelists,17773.0,1352.0,1955.0,49.0,57.0,3.75,"127,499","9,351",421,289,395796.0,44300643,https://www.goodreads.com/book/show/338798.Ulysses?ref=nav_sb_ss_1_7,https://en.wikipedia.org/wiki/Ulysses_(novel),https://www.gutenberg.org/cache/epub/4300/pg4300.txt,,1934.0,1934-02-19,6.0,7041.0,ULYSSES,1572179.0,268091.0,True,2970.0,832.0,802.0,4300,1922-01-01
47,Ulysses,James Joyce,1922,English,na,1882,1941,male,eng,IE,"short stories,novels",novelists,17773.0,1352.0,1955.0,49.0,57.0,3.75,"127,499","9,351",421,289,395796.0,44300643,https://www.goodreads.com/book/show/338798.Ulysses?ref=nav_sb_ss_1_7,https://en.wikipedia.org/wiki/Ulysses_(novel),https://www.gutenberg.org/cache/epub/4300/pg4300.txt,,1934.0,1934-02-26,3.0,7041.0,ULYSSES,1572179.0,268091.0,True,2970.0,832.0,802.0,4300,1922-01-01
47,Ulysses,James Joyce,1922,English,na,1882,1941,male,eng,IE,"short stories,novels",novelists,17773.0,1352.0,1955.0,49.0,57.0,3.75,"127,499","9,351",421,289,395796.0,44300643,https://www.goodreads.com/book/show/338798.Ulysses?ref=nav_sb_ss_1_7,https://en.wikipedia.org/wiki/Ulysses_(novel),https://www.gutenberg.org/cache/epub/4300/pg4300.txt,,1934.0,1934-03-05,4.0,7041.0,ULYSSES,1572179.0,268091.0,True,2970.0,832.0,802.0,4300,1922-01-01
47,Ulysses,James Joyce,1922,English,na,1882,1941,male,eng,IE,"short stories,novels",novelists,17773.0,1352.0,1955.0,49.0,57.0,3.75,"127,499","9,351",421,289,395796.0,44300643,https://www.goodreads.com/book/show/338798.Ulysses?ref=nav_sb_ss_1_7,https://en.wikipedia.org/wiki/Ulysses_(novel),https://www.gutenberg.org/cache/epub/4300/pg4300.txt,,1934.0,1934-03-12,6.0,7041.0,ULYSSES,1572179.0,268091.0,True,2970.0,832.0,802.0,4300,1922-01-01
