top_500_rank,title,author,pub_year,orig_lang,genre,author_birth,author_death,author_gender,author_primary_lang,author_nationality,author_field_of_activity,author_occupation,oclc_holdings,oclc_eholdings,oclc_total_editions,oclc_holdings_rank,oclc_editions_rank,gr_avg_rating,gr_num_ratings,gr_num_reviews,gr_avg_rating_rank,gr_num_ratings_rank,oclc_owi,author_viaf,gr_url,wiki_url,pg_eng_url,pg_orig_url,year,week,rank,title_id,nyt_title,novel_length_chars,novel_length_words,mentions_she,he_counts,she_counts,they_counts,pg_book_id,pub_date
160,Angels & Demons,Dan Brown,2000,English,thrillers,1964,ALIVE,male,eng,US,"suspense fiction,fiction","novelists american,authors american",,,,,,3.94,"3,183,837","33,786",289,20,,102403515,https://www.goodreads.com/book/show/960.Angels_Demons?ref=nav_sb_ss_1_15,https://en.wikipedia.org/wiki/Angels_%26_Demons,NA_not-pub-domain,,,,,,,,,False,,,,,2000-01-01
161,The Voyage of the Dawn Treader,C.S. Lewis,1952,English,fantasy,1898,1963,male,eng,GB,"science fiction,novels,fiction,childrens literature","scholars,broadcasters,authors",10487.0,532.0,419.0,157.0,272.0,4.09,"467,281","10,772",146,149,527750.0,22144877,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader?ref=nav_sb_ss_1_30,https://en.wikipedia.org/wiki/The_Voyage_of_the_Dawn_Treader,NA_not-pub-domain,,,,,,,,,False,,,,,1952-01-01
162,The Bell Jar,Sylvia Plath,1963,English,na,1932,1963,female,eng,US,"poetry,fiction","poets,novelists",10945.0,268.0,581.0,147.0,222.0,4.05,"947,410","54,775",179,85,102704.0,14775269,https://www.goodreads.com/book/show/6514.The_Bell_Jar?ref=nav_sb_ss_1_12,https://en.wikipedia.org/wiki/The_Bell_Jar,NA_not-pub-domain,,,,,,,,,False,,,,,1963-01-01
163,Women in Love,D.H. Lawrence,1920,English,na,1885,1930,male,eng,GB,english literature,"poets,novelists,dramatists",10229.0,3058.0,850.0,168.0,167.0,3.66,"32,095","1,393",460,431,463653.0,95150359,https://www.goodreads.com/book/show/9784.Women_in_Love?ref=nav_sb_ss_1_13,https://en.wikipedia.org/wiki/Women_in_Love,https://www.gutenberg.org/cache/epub/4240/pg4240.txt,,,,,,,1066834.0,183391.0,True,2688.0,2549.0,672.0,4240,1920-01-01
164,The Yearling,Marjorie Kinnan Rawlings,1938,English,na,1896,1953,female,eng,US,,authors,10445.0,172.0,433.0,161.0,267.0,4.02,"28,873","1,395",204,443,4727256870.0,73859015,https://www.goodreads.com/book/show/159582.The_Yearling?ref=nav_sb_ss_1_12,https://en.wikipedia.org/wiki/The_Yearling,NA_not-pub-domain,,,,,,,,,False,,,,,1938-01-01
165,O Pioneers!,Willa Cather,1913,English,na,1873,1947,female,eng,US,,,10613.0,6200.0,499.0,154.0,244.0,3.89,"53,507","4,088",328,388,11527.0,2480701,https://www.goodreads.com/book/show/140963.O_Pioneers_?ref=nav_sb_ss_1_11,https://en.wikipedia.org/wiki/O_Pioneers!,https://www.gutenberg.org/cache/epub/24/pg24.txt,,,,,,,325145.0,58652.0,True,694.0,547.0,258.0,24,1913-01-01
166,The Handmaid's Tale,Margaret Atwood,1985,English,na,1939,,female,eng,CA,"poetry,novels,literature,fiction","environmental activist,poets,novelists,essayists,critics",13920.0,860.0,599.0,92.0,216.0,4.14,"2,031,277","95,560",108,41,140786839.0,109322990,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale?ref=nav_sb_ss_1_19,https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale,NA_not-pub-domain,,,,,,,,,False,,,,,1985-01-01
167,The Moonstone,Wilkie Collins,1868,English,mystery,1824,1889,male,eng,GB,,authors english,10308.0,7915.0,1300.0,164.0,116.0,3.91,"92,757","5,971",315,332,548750.0,95173526,https://www.goodreads.com/book/show/6138.The_Moonstone?ref=nav_sb_ss_1_13,https://en.wikipedia.org/wiki/The_Moonstone,https://www.gutenberg.org/cache/epub/155/pg155.txt,,,,,,,,,False,,,,155,1868-01-01
168,The Old Curiosity Shop,Charles Dickens,1841,English,na,1812,1870,male,eng,GB,english literature,"authors english,writers,novelists",10530.0,5455.0,1443.0,155.0,99.0,3.79,"21,844","1,682",402,460,2830002124.0,88666393,https://www.goodreads.com/book/show/429024.The_Old_Curiosity_Shop?ref=nav_sb_ss_1_22,https://en.wikipedia.org/wiki/The_Old_Curiosity_Shop,https://www.gutenberg.org/cache/epub/700/pg700.txt,,,,,,,1258392.0,219028.0,True,2487.0,1187.0,1061.0,700,1841-01-01
169,Little Dorrit,Charles Dickens,1857,English,na,1812,1870,male,eng,GB,english literature,"authors english,writers,novelists",9978.0,5116.0,1466.0,175.0,98.0,4.0,"47,690","2,099",225,398,3485.0,88666393,https://www.goodreads.com/book/show/31250.Little_Dorrit?ref=nav_sb_ss_1_13,https://en.wikipedia.org/wiki/Little_Dorrit,https://www.gutenberg.org/cache/epub/963/pg963.txt,,,,,,,1937158.0,340408.0,True,3901.0,1878.0,878.0,963,1857-01-01
